nr;id;debitorennummer;anrede;vorname;name;firma;strasse;plz;ort;bereich;telefon;mobil;email;typ;beschriftung;
48;12868;;Frau;Karina;Wendlandt;;Kamenzer Str. 38;01936;Königsbrück;Louisenstift gGmbH;03579531557;;k.wendlandt@louisenstift.de;Unternehmengruppe;;
49;6037;;;;;Städt. Jugendhilfeeinrichtung Görlitz;Löschwitzer Str. 6;02827;Görlitz;;;;info@dsw-lausitz.de;Juhi_firmen;;
50;6040;;;;;Landratsamt Altenburger Land;Lindenaustraße 9;04600;Altenburg;;03447586-733;;soziale.dienste@altenburgerland.de;Juhi_firmen;;
51;6041;;;;;Landratsamt -Jugendamt- Saalfeld;Schloßstraße 24;07318;Saalfeld;;03671823605;;jugendamt@kreis-slf.de;Juhi_firmen;;
52;6042;;;;;Landratsamt -Kreisjugendamt-;Wohlfahrtstraße 3-5;07381;Pößneck;;036474480;;poststelle@lrasok.thueringen.de;Juhi_firmen;;
53;6043;;;;;Stadt Gera -Jugendamt-;Gagarinstraße 68;07545;Gera;;03658382424;;info@gera.de;Juhi_firmen;;
54;6044;;;;;LRA Saale-Orla-Kreis -Jugendamt-;Oschitzer Straße 4;07907;Schleiz;;03663488866;;sozialerdienst@lrasok.thueringen.de;Juhi_firmen;;
55;6046;;;;;Landratsamt Greiz -Jugendamt-;Dr.-Rathenau-Platz 11;07973;Greiz;;03661876-367;;jugendamt@landkreis-greiz.de;Juhi_firmen;;
56;6047;;;;;Stadt Chemnitz -Jugendamt-;Theaterstraße 31;09011;Chemnitz;;03714880;;;Juhi_firmen;;
57;6048;;;;;Stadt Chemnitz Abt. Moritzhof;Bahnhofstraße 53;09106;Chemnitz;;;;a51@stadt-chemnitz.de;Juhi_firmen;;
58;6049;;;;;Sächisches Staatsministerium für Soziales;Parkstraße 28;09120;Chemnitz;;03714571505;;landesjugendamt@lja.sms.sachsen.de;Juhi_firmen;;
59;6050;;;;;Kinder- und Jugendheim des Diakonischen Werkes Stollberg e.V.;Zwickauer Str. 26a;09366;Stollberg;;037296927770;;KJH.dw-stollberg@evlks.de;Juhi_firmen;;
60;6051;;;;;Kinderarche Sachsen e. V.;Bahnhofstraße 45;09600;Berthelsdorf;;03732250997;;info@kinderarche-sachsen.de;Juhi_firmen;;
61;6052;;;;;Wohngruppe Bobritzschtal;Talstraße 25;09627;Bobritzsch;;03732591979;;info@kinderarche-sachsen.de;Juhi_firmen;;
62;6053;;;;;Kinderarche Sachsen e. V. Radebeul;Muldaer Str. 25a;09638;Lichtenberg;;03732350566;;info@kinderarche-sachsen.de;Juhi_firmen;;
63;6054;;;;;Haus St. Marien;Elberfelder Str. 24;10555;Berlin;;;;hausst.marien@skf-berlin.de;Juhi_firmen;;
64;6056;;;;;Sozialarbeit und Segeln e.V. Jugendhilfezentrum;Berlepschstraße 42;14165;Berlin-Zehlendorf;;;;;Juhi_firmen;;
65;6057;;;;;Ev. Jugendhilfe Geltow;Auf dem Franzensberg 2-3;14542;Geltow;;;;info@ejh-geltow.de;Juhi_firmen;;
66;6058;;;;;Heimverbund Märkische Schweiz;An der weissen Taube 6;15377;Bollersdorf;;03343357007;;heimverbund.maerk.schweiz@gfb-potsdam.de;Juhi_firmen;;
67;6062;;;;;Landkreis Ludwigslust -Jugendamt-;Garnisonsstraße 1;19288;Ludwigslust;;;;stadt@stadtludwigslust.de;Juhi_firmen;;
68;6064;;;;;Landkreis Prignitz Jugendhilfe;Berliner Str. 49;19348;Perleberg;;;;david.kahl@lkprignitz.de;Juhi_firmen;;
69;6073;;;;;Arbeit und Bildung;Postfach 4906;26039;Oldenburg;;;;info@arbeitundbildung.de;Juhi_firmen;;
70;6074;;;;;Gesellschaft für Sozialpädagogik;Wallster Postweg 44;26607;Aurich-Walle;;;;;Juhi_firmen;;
71;6075;;;;;Kinderhof Eibenhorst;Ihausener Straße 32;26655;Westerstede;;;;;Juhi_firmen;;
72;6076;;;;;Caritasverband;Andreaswall 11;27283;Verden;;;;;Juhi_firmen;;
73;6078;;;;;ZKH Bremen - Ost;Züricherstraße 40;28273;Bremen;;;;Info@Klinikum-Bremen-Ost.de;Juhi_firmen;;
74;6079;;;;;Caritas Celle;Bullenberg 6;29221;Celle;;;;info@caritas-celle.de;Juhi_firmen;;
75;6080;;;;;Celler Evang. Kinderheim;Behrenskamp 10a;29225;Celle;;;;vorstand@pestalozzi-stiftung.de;Juhi_firmen;;
76;6082;;;;;Soz.-päd. Hilfen Vier Linden;Südkampen Nr. 2;29664;Walsrode;;05166-930435;;suedkampen@wg-vierlinden.de;Juhi_firmen;;
77;6083;;;;;Evangelischer Erziehungsverein e.V.;Flüggestraße 21;30161;Hannover;;;;seminarverwaltung@erev.de;Juhi_firmen;;
78;6087;;;;;Meinwerk-Institut;Heiersstraße 32;33098;Paderborn;;;;;Juhi_firmen;;
79;6088;;;;;Jugendwohnh. Kolping-Bildungswerk;Gesellenhausgasse 2;33098;Paderborn;;;;bildungswerk@kolping-paderborn.de;Juhi_firmen;;
80;6089;;;;;Collegium Salesianum;Busdorfwall 28;33098;Paderborn;;;;info@jugendhaus-salesianum.de;Juhi_firmen;;
81;6090;;;;;Verein f- Jugendhilfe im Erzbistum Paderborn e.V.;Am Stadelhof 15;33098;Paderborn;;;;info@jugendhilfe-paderborn.de;Juhi_firmen;;
82;6091;;;;;Erzbischöfliches Kinderheim;Bonifatiusweg 5;33102;Paderborn;;;;info@erzb-kinderheim.de;Juhi_firmen;;
83;6092;;;;;Sozpäd. Zentrum Lioba Werkstätten;Am Rolandsbad 1;33102;Paderborn;;;;http://www.invia-stlioba.de;Juhi_firmen;;
84;6093;;;;;Erziehungsberatungsstelle;Bergstraße 8;33378;Rheda-Wiedenbrück;;;;erziehungsberatung@caritas-guetersloh.de;Juhi_firmen;;
85;6094;102074;;;;Ev. Stiftung Ummeln - Jugendhilfe;Veerhoffstraße 5;33649;Bielefeld;;05214888128;;vedi@ummeln.de;Juhi_firmen;Ev. Stiftung Ummeln-Jugendhilfe;
86;6097;;;;;Landeswohlfahrtsverband Hessen Dez. Heime, Schulen u. Erziehungsstellen;Kölnische Straße 30;34117;Kassel;;056110040;;info@lwv-hessen.de;Juhi_firmen;;
87;6098;;;;;Erziehungshilfen - Auguste Förster - Geschäftsstelle;Friedrich-Ebert-Str. 16;34117;Kassel;;0561787-5437;;udo.pfingsten@kassel.de;Juhi_firmen;;
88;6099;;;;;Erziehungshilfen - Auguste Förster Mädchenwohngruppe;Lassallestr. 11;34119;Kassel;;056112081;;udo.pfingsten@kassel.de;Juhi_firmen;;
89;6100;;;;;Magistrat der Stadt Kassel;Friedrich-Ebert-Straße 1;34117;Kassel;;;;hauptamt@kassel.de;Juhi_firmen;;
90;6101;;;;;Magistrat der Stadt Kassel;Obere Königsstraße 8;34117;Kassel;;0561787-787;;hauptamt@kassel.de;Juhi_firmen;;
91;7279;;;;;Ev. Kindertagesstätte Diakonissenhaus;Goethestraße 85;34119;Kassel;;;;;Kita_firmen;;
92;6103;;;;;Stiftung Kurhessisches Diakonissenhaus Kassel;Goethestraße 85;34119;Kassel;;056110020;;info@diako-kassel.de;Juhi_firmen;;
93;6104;;;;;Erziehungshilfen - Auguste Förster TG West;Dörnbergstraße 7;34119;Kassel;;0561710800;;udo.pfingsten@kassel.de;Juhi_firmen;;
94;6106;;;;;Erziehungshilfen - Auguste Förster Betreutes Jugendwohnen;Gräfestraße 6;34121;Kassel-Wehlheiden;;0561283519;;udo.pfingsten@kassel.de;Juhi_firmen;;
95;7300;;;;;Kindertagesstätte Kleiner Holzweg;Kleiner Holzweg 28;34121;Kassel-Wehlheiden;;0561766444-40;;kitaholzweg@kdhk.de;Kita_firmen;;
96;6107;;;;;Kinder- und Jugendheim d. Kurh. Diakonissenhauses;Kleiner Holzweg 28;34121;Kassel;;05617664440;;kinderheim@kdhk.de;Juhi_firmen;;
97;6109;;;;;Berufsförderungsdienst der Bundeswehr;Ludwig-Mond-Str. 35;34121;Kassel;;;;KCKasselBFD@bundeswehr.org;Juhi_firmen;;
98;6110;;;;;AWO Wohngruppe;Eichwaldstraße 79;34123;Kassel;;05615077220;;geschaeftsstelle@awo-nordhessen.de;Juhi_firmen;;
99;11097;;;;;Hort Unterbunt;Leipziger Straße 13;34125;Kassel;;;;hort.unterneustadt@web.de;Kita_firmen;;
100;6111;;;;;AKGG;Leipziger Straße 13;34125;Kassel;;0561578614;;verwaltung@akgg.de;Juhi_firmen;;
101;6113;;;;;Betreutes Jugendwohnen;Ludwigstraße 4;34127;Kassel;;056134127;;BetreutesJugendwohnen.Ludwigstrasse@kassel.dekassel.de;Juhi_firmen;;
102;6114;;;;;Lambert Löher Holzwerkstatt BuntStift e.V;Holländische Str. 208;34127;Kassel;;;;l.loeher@outlaw-kassel.de;Juhi_firmen;;
103;6115;;;;;AWO Mädchenwohngruppe Töniesweg;Töniesweg 17;34127;Kassel;;;;info@mwg-awo-nordhessen.de;Juhi_firmen;;
104;6116;;;;;Kinder- und Jugendheim d. Kurh. Diakonissen Blumenfeldgruppehauses;Felix-Blumenfeld-Straße 10;34128;Kassel;;;;krug.kinderheim@kdhk.de;Juhi_firmen;;
105;6117;;;;;Deutscher Kinderschutzbund, OV Kassel e.V.;Vor dem Forst 12;34130;Kassel;;056168226;;kinderschutzhaus@kinderschutzbund-kassel.de;Juhi_firmen;;
106;6118;;;;;Verbund sozialpädagogischer Kleingruppen e.V.;Wahlershäuser Str. 99;34130;Kassel;;056166956;;jugendwohngruppe@verbund-kassel.de;Juhi_firmen;;
107;6120;;;;;Kinder- und Jugendheim d. Kurh. Diakonissenhauses;Brabanter Straße 38;34131;Kassel;;;;krug.kinderheim@kdhk.de;Juhi_firmen;;
108;6121;;;;;Erziehungshilfen - Auguste Förster TG Süd;Altenbaunaerstraße 138A;34132;Kassel;;0561472246;;udo.pfingsten@kassel.de;Juhi_firmen;;
109;6122;;;;;Georg-August-Zinn-Schule Kassel;Mattenbergstr. 52;34132;Kassel;;;;poststelle@zinn.kassel.schulverwaltung.hessen.de;Juhi_firmen;;
110;6123;;;;;Verein Jean-Paul-Schule;Konrad Adenauer Straße 145;34132;Kassel;;;;kontakt@jean-paul-tagesgruppe.de;Juhi_firmen;;
111;6125;;;;;Verbund sozialpäd. Kleingruppen e. V. Gudensberg;Lamsberger Weg 15;34181;Gudensberg;;;;gs@verbund-kassel.de;Juhi_firmen;;
112;6126;;;;;Jugendheime Beiserhaus;Quillerstraße 47;34212;Melsungen;;;;beiserhaus@t-online.de;Juhi_firmen;;
113;6127;;;;;Sozialpädagogische Sozietät e.V.;Hermann-Schafft Str 18-20;34225;Baunatal;;0561494016;;;Juhi_firmen;;
114;6128;;;;;Marie Calm Haus gGmbH;Kasseler Straße 4;34225;Baunatal - Großenritte;;0560186914;;Marie-Calm-Haus-Baunatal@t-online.de;Juhi_firmen;;
115;6129;;;;;Verbund sozialpäd. Kleingruppen e. V. Fuldatal -Rothwesten;In der Hölle 7;34233;Fuldatal -Rothwesten;;;;;Juhi_firmen;;
116;6130;;;;;Hausgemeinschaft Neu Berich;Heuweg 4;34254;Bad Arolsen;;;;;Juhi_firmen;;
117;6132;;;;;Jugendwohngruppe Gudensberg;Kasseler Str. 67;34281;Gudensberg;;056031404;;gs@verbund-kassel.de;Juhi_firmen;;
118;6133;;;;;Jugendwohngruppe Steinbuschweg;Steinbuschweg 18;34295;Edermünde;;;;kontakt@jwgsteinbuschweg.de;Juhi_firmen;;
119;6134;;;;;Ernst-Reuter-Schule Grifte;An der Ernst-Reuter-Schule 4;34295;Edermünde;;056655528;;poststelle@g.grifte.schulverwaltung.hessen.de;Juhi_firmen;;
120;6135;;;;;Zentrum für Soziale Psychiatrie Kurhessen;Landgraf-Philipp-Str. 9;34308;Bad Emstal;;;;zsp@zsp-kurhessen.de;Juhi_firmen;;
121;6136;;;;;Stadt Naumburg;Burgstr. 15;34311;Naumburg;;05652-79090;;verwaltung@naumburg.eu;Juhi_firmen;;
122;6138;;;;;Haus Fuldablick GmbH;Rinnestraße 1+3;34326;Morschen - Konnefeld;;056648440;;;Juhi_firmen;;
123;6139;;;;;Haus Struwwelpeter;Ahletal 31;34359;Reinhardshagen - Vaake;;;;kontakt@hausstruwwelpeter.de;Juhi_firmen;;
124;6140;;;;;Verbund sozialpäd. Kleingruppen e. V. Hofgeismar;Tannenweg 1;34369;Hofgeismar;;;;gs@verbund-kassel.de;Juhi_firmen;;
125;6142;;;;;Kinderhaus Hofgeismar;Tannenweg 1;34369;Hofgeismar;;05671508727;;hofgeismar@verbund-kassel.de;Juhi_firmen;;
126;6141;;;;;Stadt Hofgeismar;Markt 1;34369;Hofgeismar;;05671-999000;;info@stadt-hofgeismar.de;Juhi_firmen;;
127;6143;;;;;Kinder- und Jugendhilfe Bezirksverband Hessen Nord e.V.;Pöttenbreite 1;34379;Calden;;0567795980;;info@muetternotdienst-hessen.de;Juhi_firmen;;
128;6144;;;;;Soziale Wohngemeinschaft Grimm;Mündener Straße 14;34399;Oberweser - Oedelsheim;;;;;Juhi_firmen;;
129;6146;;;;;Kinderheim Scherfede;Briloner Straße 76;34414;Warburg;;;;w.jungblut@johannisstift.de;Juhi_firmen;;
130;6147;;;;;Lebensgemeinsch.Meineringhausen;Hohler Graben 8;34419;Korbach;;;;buero@heimfamilie.de;Juhi_firmen;;
131;6148;;;;;Waldecksches Diakonissenhaus Sophienheim;Teichstraße 7;34454;Bad Arolsen;;0569197960;;;Juhi_firmen;;
132;6149;;;;;Großfamilie Preiß;Sägemühle 4;34454;Bad Arolsen;;;;;Juhi_firmen;;
133;6150;;;;;Familienintegrativ WG Fam. Ockroy;Landstr. 29;34454;Bad Arolsen-Mengeringhausen;;;;;Juhi_firmen;;
134;6152;;;;;Haus Bertha;Leitegraben 7;34454;Bad Arolsen;;;;jugendhilfe@wds-bad-arolsen.de;Juhi_firmen;;
135;6153;;;;;Haus Wolrad;Leitegraben 9;34454;Bad Arolsen;;;;jugendhilfe@wds-bad-arolsen.de;Juhi_firmen;;
136;6157;;;;;Jugendschutzstelle;Leitegraben 9;34454;Bad Arolsen;;;;;Juhi_firmen;;
137;6154;;;;;Haus Friederike;Teichstr. 9;34454;Bad Arolsen;;;;;Juhi_firmen;;
138;6155;;;;;Jugendwohngruppe Bad Arolsen;Wetterburger Str. 4;34454;Bad Arolsen;;05691508970;;leitung.jwg@wds-bad-arolsen.de;Juhi_firmen;;
139;6156;;;;;Familiengruppe Mengeringhausen;St.-Georg-Str. 30;34454;Bad Arolsen;;;;;Juhi_firmen;;
140;6158;;;;;Kinder- und Jugendwohngruppe Schrader GmbH;Bründerserstraße 3;34466;Wolfhagen - Istha;;05692995143;;dschrader@t-online.de;Juhi_firmen;;
141;6159;;;;;Familiengruppe Rhoden;Kuhweg 21;34474;Diemelstadt;;;;;Juhi_firmen;;
142;6160;;;;;Familiengemeinschaften Waldecker Land e.V.;Steinbrink 7;34477;Twistetal;;05695991064;;;Juhi_firmen;;
143;6161;;;;;Jugendhilfe in Waldeck-Frankenberg gGmbH;Dehringhäuser Straße 16;34477;Twistetal-Niederwaroldern;;056959796-00;;Jugendhilfe@JugendhilfeWaldFkb.de;Juhi_firmen;;
144;6162;;;;;Landkreis Waldeck-Frankenberg;Bahnhofstraße 43381;35066;Frankenberg/ Eder;;05631954-137;;post@landkreis-waldeck-frankenberg.de;Juhi_firmen;;
145;6164;;;;;Hausgemeinschaft Jugendwohngruppe;Am Unterborn 17;34497;Korbach;;;;;Juhi_firmen;;
146;6165;;;;;Mädchenhausgemeinschaft;Sachsenhäuser Str. 49;34497;Korbach;;;;buero@heimfamilie.de;Juhi_firmen;;
147;6166;;;;;Familienintegrativ WG Fam. Geselle;Am Steinberg 10;34497;Korbach;;;;;Juhi_firmen;;
148;6167;;;;;Wohngruppe Korbach;Hagenstr. 10;34497;Korbach;;0563198190;;JugendhilfeHagenstrasse@JugendhilfeWaldFkb.de;Juhi_firmen;;
149;6168;;;;;Jugendhilfe GmbH;Ascher 16;34497;Korbach;;05631953925;;jugendhilfeAscher@jugendhilfeWaldFkb.de;Juhi_firmen;;
150;6170;;;;;Jugendwohngruppe Ralf Müller GmbH;Ermighäuser Weg 22;34497;Korbach;;056314061;;info@jugendwohngruppe-korbach.de;Juhi_firmen;;
151;15811;;Herr;Andreas;Strake;;Südring 2;34497;Korbach;;05631954152;;Andreas.strake@landkreis-waldeck-frankenberg.de;Juhi_personen;;
152;1091;;Frau;Maria;Loth;;Südring 2;34497;Korbach;;;;;Juhi_personen;;
153;6173;;;;;Landkreis Waldeck-Frankenberg;Südring 2;34497;Korbach;;05631954-0;;jugend@landkreis-waldeck-frankenberg.de;Juhi_firmen;;
154;6174;104614;;;;Kompass Korbach;Violinen Str. 7;34497;Korbach;;05631937370;;kompass-korbach@gmx.de;Juhi_firmen;Kompass Korbach;
155;6175;;;;;Alte Hofreiten GmbH Sozialpäd. Familiengruppen;Klosterweg 1;34513;Waldeck - Netze;;056341289;;;Juhi_firmen;;
156;6176;;;;;Kinder- u. Jugendwohngruppe Edersee GbR;Am Schlossberg 16;34513;Waldeck;;;;;Juhi_firmen;;
157;6177;;;;;Familienintegrativ WG Fam. Holzapfel;Hauptstr. 11;34513;Waldeck-Höringhausen;;;;;Juhi_firmen;;
158;6178;;;;;Betreutes Wohnen;Am Schlossberg 10;34513;Waldeck;;;;;Juhi_firmen;;
159;6179;;;;;Familienintegrative Wohngruppe;Raiffeisenstr. 2;34513;Waldeck-Netze;;;;;Juhi_firmen;;
160;6180;103043;;;;Gemeinschaftswerk e.V.;Auf dem Weinberg 2;34516;Vöhl;;;;info@gemeinschaftswerk-asel.de;Juhi_firmen;Gemeinschaftswerk Vöhl e.V.;
161;6180;100032;;;;Gemeinschaftswerk e.V.;Auf dem Weinberg 2;34516;Vöhl;;;;info@gemeinschaftswerk-asel.de;Juhi_firmen;Altenpflegeheim Gemeinschaftsw. Vöhl e.V;
162;6181;;;;;Hausgemeinschaft Fam. Thöne/Becker;Am Scheid 11;34516;Vöhl;;;;;Juhi_firmen;;
163;2960;;Frau;Stephanie;Thöne;;Am Scheid 11;34516;Vöhl-Schmittlotheim;;;;;Kita_personen;;
164;6182;;;;;Familienheimplatz Seifert;Basdorfer Str. 12;34516;Vöhl;;;;;Juhi_firmen;;
165;6183;;;;;Hausgemeinschaft Adorf;Kattwinkel 2;34519;Diemelsee;;;;;Juhi_firmen;;
166;6184;;;;;Familienintegrativ WG Fam. Suckow;Talstr. 10;34519;Diemelsee-Giebringhausen;;;;;Juhi_firmen;;
167;6185;;;;;Familiengruppe Vasbeck;Nordring 10;34519;Diemelsee;;;;;Juhi_firmen;;
168;6187;;;;;Fam. Bereitschaftsbetreuung von Säuglingen und Kleinkinder;Oberer Weinbergweg 3;34537;Bad Wildungen;;;;;Juhi_firmen;;
169;6188;;;;;Standprojekt Schultheißenhof;Schlossstr. 7;34537;Bad Wildungen;;;;;Juhi_firmen;;
170;6189;;;;;GISA gGmbH Jugendhilfe Nordhessen;Reichardtstr. 12;34537;Bad Wildungen;;;;badwildungen@elisabeth-verein.de;Juhi_firmen;;
171;12394;;Herr;Jörg;Freße;;Reichardtstr. 12;34537;Bad Wildungen;GISA gGmbH Jugendhilfe Nordhessen;;;joerg.fresse@web.de;Unternehmengruppe;;
172;918;;Frau;Ina;Jungermann;;Reichardtstr. 12;34537;Bad Wildungen;;;;i.jungermann@gisa-jugendhilfe.de;Juhi_personen;;
173;12395;;Frau;Tina;Herzog;;Reichardtstr. 12;34537;Bad Wildungen;GISA gGmbH Jugendhilfe Nordhessen;;;;Unternehmengruppe;;
174;6190;;;;;Piraten-Gruppe;Reichardstr. 12;34537;Bad Wildungen;;;;;Juhi_firmen;;
175;6191;;;;;Kinder- und Jugendheim Haus Carl Sonnenschein;Frau -Münster -Str. 33;34560;Fritzlar;;;;;Juhi_firmen;;
176;6192;;;;;Hermann-Schafft-Schule Jugendheim Homberg;Postfach 1229;34568;Homberg / Efze;;;;info@hss-homberg.de;Juhi_firmen;;
177;6193;;;;;Jugendheime Beiserhaus;Rudolf-Virchow-Straße 13;34576;Homberg;;;;info@beiserhaus.de;Juhi_firmen;;
178;6194;;;;;Jugendhilfeverb. Karlshof Jugendheim Homberg;Bischofstraße 6;34576;Homberg;;;;info@jugendhilfe-wabern.de;Juhi_firmen;;
179;6195;;;;;Kreisausschuss des Schwalm-Eder-Kreises;Parkstraße 6;34576;Homberg/Efze;;;;info@schwalm-eder-kreis.de;Juhi_firmen;;
180;6198;;;;;Hephata Hess. Diakoniezentrum e. V.;Sachsenhäuser Straße 24;34613;Schwalmstadt;;0669118213;;info@hephata.com;Juhi_firmen;;
181;6200;;;;;Hephata Geschäftsbereich Jugendhilfe;Horschmühlenweg 6;34613;Schwalmstadt;;;;heike.meiss@hephata.com;Juhi_firmen;;
182;6202;;;;;Diakoniezentrum Frielendorf e.V.;Bruchackerweg 9;34621;Frielendorf;;;;info@diakonie-frielendorf.de;Juhi_firmen;;
183;6203;;;;;Klinik für Kinder- und Jugendpsychiatrie;Hans-Sachs-Str. 6;35033;Marburg;;064212866260;;kjp@med.uni-marburg.de;Juhi_firmen;;
184;6205;;;;;Caritasverband Marburg e.V.;Schückingstraße 28;35037;Marburg;;0642126342;;geschaeftsstelle@caritas-marburg.de;Juhi_firmen;;
185;3817;;;;;Otto-Ubbelohde-Schule Marburg;Schulstraße 3;35037;Marburg;;;;;Schule_firmen;;
